count,name,leagues
18,Panathinaikos,GRE 1 (12)·GRE CUP (6)
16,PAOK Thessaloniki,GRE CUP (5)·GRE 1 (11)
14,AEK Athen,GRE CUP (3)·GRE 1 (11)
14,Olympiakos Piräus,GRE 1 (12)·GRE CUP (2)
11,Aris Thessaloniki,GRE 1 (5)·GRE CUP (6)
8,OFI Kreta,GRE 1 (6)·GRE CUP (2)
7,Atromitos Athen,GRE 1 (5)·GRE CUP (2)
6,Panaitolikos,GRE 1 (2)·GRE CUP (4)
5,Lamia 1964,GRE 1 (5)
5,Panserraikos FC,GRE 1 (3)·GRE CUP (2)
4,AE Kifisia FC,GRE 1 (3)·GRE CUP (1)
4,Niki Volos FC,GRE 2 (2)·GRE CUP (2)
4,Volos NFC,GRE 1 (3)·GRE CUP (1)
3,AE Larissa,GRE 2 (2)·GRE CUP (1)
3,Asteras Tripolis,GRE 1 (2)·GRE CUP (1)
2,APO Levadiakos FC,GRE 2 (1)·GRE CUP (1)
2,PAS Giannina FC,GRE 1 (2)
1,Aiolikos FC,GRE 2 (1)
1,An. Karditsas,GRE 2 (1)
1,Apollon Pontou,GRE 2 (1)
1,Iraklis 1908,GRE 2 (1)
1,Kallithea FC Athen,GRE CUP (1)
1,PAOK Thessal. B,GRE 2 (1)
