count,name,leagues
14,Partizan Belgrad,SERB 1 (12)·SER CUP (2)
12,FK Vojvodina,SERB 1 (9)·SER CUP (3)
12,Roter Stern B.,SERB 1 (10)·SER CUP (2)
10,Napredak Krusevac,SERB 1 (10)
8,Cukaricki Belgrad,SERB 1 (7)·SER CUP (1)
7,FK Vozdovac,SERB 1 (6)·SER CUP (1)
6,FK Novi Beograd,SERB 1 (6)
6,Spartak Subotica,SERB 1 (6)
5,FK Radnicki 1923,SER CUP (2)·SERB 1 (3)
5,FK Radnicki Nis,SERB 1 (5)
5,TSC Backa Topola,SERB 1 (5)
5,Zel. Pancevo,SERB 1 (5)
3,FK Novi Pazar,SERB 1 (2)·SER CUP (1)
2,FK Javor Ivanjica,SERB 1 (2)
2,FK Mladost Lucani,SERB 1 (2)
2,Radnik Surdulica,SERB 1 (2)
