count,name,leagues
9,Bolivar La Paz,COPA L (9)
7,The Strongest,COPA L (6)·BOL 1 (1)
6,Alw.Ready,COPA L (3)·COPA S (3)
4,Blooming,COPA S (2)·BOL 1 (2)
4,Nac. Potosi,COPA S (4)
3,Alw.Ready La Paz,BOL 1 (3)
3,CA Nacional Potosi,BOL 1 (3)
3,CD Real Tomayapo,BOL 1 (3)
3,Club Dep. Aurora,BOL 1 (3)
3,Indep. Petrolero,BOL 1 (3)
3,Oriente Petrolero,BOL 1 (3)
3,Real Tomayapo,COPA S (3)
3,Royal Pari FC,BOL 1 (3)
3,San Ant. Bulo Bulo,BOL 1 (3)
2,GV San Jose Oruro,BOL 1 (2)
2,Guabira Montero,BOL 1 (2)
2,Univer. De Vinto,BOL 1 (2)
2,Vaca Diez,BOL 1 (2)
1,CD Aurora,COPA L (1)
1,Club At.Palmaflor,BOL 1 (1)
1,J.Wilstermann,COPA S (1)
1,Jorge Wilstermann,BOL 1 (1)
1,Real Santa Cruz,BOL 1 (1)
1,Uni. De Vinto,COPA S (1)
