count,name,leagues
26,FC Dundalk,IRL 1 (21)·UEFA CONF (4)·IRL CUP (1)
25,FC Derry City,IRL 1 (18)·UEFA CONF (5)·UEFA CONF Q (2)
25,FC Drogheda United,IRL 1 (23)·IRL CUP (2)
25,St Patrick's,IRL 1 (19)·UEFA CONF (2)·IRL SC (1)·UEFA CONF Q (3)
24,FC Shamrock Rovers,IRL 1 (22)·IRL SC (1)·IRL CUP (1)
22,Shelbourne Dublin,IRL 1 (22)
21,Boh. Dublin,IRL 1 (20)·IRL CUP (1)
19,FC Sligo Rovers,IRL 1 (18)·IRL CUP (1)
17,FC Galway United,IRL 2 (6)·IRL 1 (10)·IRL CUP (1)
16,Cork City FC,IRL 1 (9)·IRL 2 (6)·IRL CUP (1)
15,Waterford United,IRL 2 (5)·IRL 1 (10)
13,UC Dublin,IRL 1 (8)·IRL 2 (5)
11,FC Bray Wanderers,IRL 2 (11)
10,Cobh Ramblers,IRL 2 (10)
10,FC Longford Town,IRL 2 (9)·IRL CUP (1)
10,Treaty United,IRL 2 (10)
10,Wexford Youths,IRL 2 (10)
9,FC Athlone Town,IRL 2 (9)
9,FC Finn Harps,IRL 2 (8)·IRL CUP (1)
9,Shamrock,UEFA CL (2)·UEFA CONF (2)·UEFA CL Q (4)·UEFA EL Q (1)
7,Kerry FC,IRL 2 (7)
4,Shelbourne,UEFA CONF Q (4)
