count,name,leagues
34,HJK Helsinki,FIN CUP (2)·FIN 1 (15)·UEFA CL (4)·UEFA EL (2)·UEFA CONF (8)·UEFA CL Q (2)·UEFA CONF Q (1)
24,Kuopio PS,FIN 1 (15)·FIN CUP (3)·UEFA CONF (2)·UEFA CONF Q (4)
22,FC Inter Turku,FIN 1 (21)·FIN CUP (1)
21,Tampereen Ilves,FIN 1 (18)·FIN CUP (3)
21,Vaasa PS,FIN 1 (17)·FIN CUP (2)·UEFA CONF Q (2)
20,AC Oulu,FIN 1 (17)·FIN CUP (3)
20,FC Lahti,FIN 1 (18)·FIN CUP (2)
19,FC KTP,FIN 1 (9)·FIN CUP (3)·FIN 2 (7)
18,Seinajoen JK,FIN 1 (17)·FIN CUP (1)
16,Haka Valkeakoski,FIN 1 (16)
16,IFK Mariehamn,FIN 1 (13)·FIN CUP (3)
13,Ekenäs IF,FIN CUP (3)·FIN 2 (4)·FIN 1 (6)
12,FC Honka,FIN 1 (7)·FIN CUP (3)·UEFA CONF (2)
12,IF Gnistan,FIN CUP (1)·FIN 2 (4)·FIN 1 (7)
12,Mikkelin Pall.,FIN 2 (12)
11,Turun Palloseura,FIN 2 (11)
10,FF Jaro,FIN 2 (10)
10,Järvenpään PS,FIN CUP (1)·FIN 2 (9)
9,Käpylän Pallo,FIN CUP (1)·FIN 2 (8)
9,SJK Akatemia,FIN 2 (9)
8,HIFK Helsinki,FIN CUP (2)·FIN 2 (6)
8,JJK Jyväskylä,FIN CUP (1)·FIN 2 (6)·FIN 3 (1)
7,KPV Kokkola,FIN 2 (5)·FIN CUP (2)
6,Salpa,FIN 2 (4)·FIN CUP (2)
4,SalPa,FIN 2 (4)
3,Jippo,FIN 2 (3)
3,Tampereen Ilve,UEFA CONF Q (3)
2,HJK Klubi 04,FIN 4A (1)·FIN 3 (1)
2,Haka Valk.,UEFA CONF (2)
1,FC Jazz Pori,FIN 3 (1)
1,P-Iirot,FIN CUP (1)
1,PK Keski-Uusimaa,FIN 4A (1)
1,VIFK,FIN 3 (1)
1,VJS Vantaa,FIN CUP (1)
1,Vifk,FIN CUP (1)
